Date,Weekday,Day,weekid,monthid
1/16/2021,Sat,16,1,1
1/17/2021,Sun,17,2,1
1/18/2021,Mon,18,2,1
1/19/2021,Tue,19,2,1
1/20/2021,Wed,20,2,1
1/21/2021,Thu,21,2,1
1/22/2021,Fri,22,2,1
1/23/2021,Sat,23,2,1
1/24/2021,Sun,24,3,1
1/25/2021,Mon,25,3,1
1/26/2021,Tue,26,3,1
1/27/2021,Wed,27,3,1
1/28/2021,Thu,28,3,1
1/29/2021,Fri,29,3,1
1/30/2021,Sat,30,3,1
1/31/2021,Sun,31,4,1
2/1/2021,Mon,1,4,1
2/2/2021,Tue,2,4,1
2/3/2021,Wed,3,4,1
2/4/2021,Thu,4,4,1
2/5/2021,Fri,5,4,1
2/6/2021,Sat,6,4,1
2/7/2021,Sun,7,5,1
2/8/2021,Mon,8,5,1
2/9/2021,Tue,9,5,1
2/10/2021,Wed,10,5,1
2/11/2021,Thu,11,5,1
2/12/2021,Fri,12,5,1
2/13/2021,Sat,13,5,1
2/14/2021,Sun,14,6,1
2/15/2021,Mon,15,6,2
2/16/2021,Tue,16,6,2
2/17/2021,Wed,17,6,2
2/18/2021,Thu,18,6,2
2/19/2021,Fri,19,6,2
2/20/2021,Sat,20,6,2
2/21/2021,Sun,21,7,2
2/22/2021,Mon,22,7,2
2/23/2021,Tue,23,7,2
2/24/2021,Wed,24,7,2
2/25/2021,Thu,25,7,2
2/26/2021,Fri,26,7,2
2/27/2021,Sat,27,7,2
2/28/2021,Sun,28,8,2
3/1/2021,Mon,1,8,2
3/2/2021,Tue,2,8,2
3/3/2021,Wed,3,8,2
3/4/2021,Thu,4,8,2
3/5/2021,Fri,5,8,2
3/6/2021,Sat,6,8,2
3/7/2021,Sun,7,9,2
3/8/2021,Mon,8,9,2
3/9/2021,Tue,9,9,2
3/10/2021,Wed,10,9,2
3/11/2021,Thu,11,9,2
3/12/2021,Fri,12,9,2
3/13/2021,Sat,13,9,2
3/14/2021,Sun,14,10,2
3/15/2021,Mon,15,10,3
3/16/2021,Tue,16,10,3
3/17/2021,Wed,17,10,3
3/18/2021,Thu,18,10,3
3/19/2021,Fri,19,10,3
3/20/2021,Sat,20,10,3
3/21/2021,Sun,21,11,3
3/22/2021,Mon,22,11,3
3/23/2021,Tue,23,11,3
3/24/2021,Wed,24,11,3
3/25/2021,Thu,25,11,3
3/26/2021,Fri,26,11,3
3/27/2021,Sat,27,11,3
3/28/2021,Sun,28,12,3
3/29/2021,Mon,29,12,3
3/30/2021,Tue,30,12,3
3/31/2021,Wed,31,12,3
4/1/2021,Thu,1,12,3
4/2/2021,Fri,2,12,3
4/3/2021,Sat,3,12,3
