Sr No,Name,District_Key,State_Code,TOT_P,TOT_M,TOT_F
2,Andaman & Nicobar Islands,Andaman and Nicobar Islands,AN,380581,202871,177710
4,Anantapur,AP_Anantapur,AP,4081148,2064495,2016653
5,Chittoor,AP_Chittoor,AP,4174064,2090204,2083860
6,East Godavari,AP_East Godavari,AP,5154296,2569688,2584608
7,Guntur,AP_Guntur,AP,4887813,2440521,2447292
8,Krishna,AP_Krishna,AP,4517398,2267375,2250023
9,Kurnool,AP_Kurnool,AP,4053463,2039227,2014236
10,Prakasam,AP_Prakasam,AP,3397448,1714764,1682684
11,S.P.S. Nellore,AP_S.P.S. Nellore,AP,2963557,1492974,1470583
12,Srikakulam,AP_Srikakulam,AP,2703114,1341738,1361376
13,Visakhapatnam,AP_Visakhapatnam,AP,4290589,2138910,2151679
14,Vizianagaram,AP_Vizianagaram,AP,2344474,1161477,1182997
15,West Godavari,AP_West Godavari,AP,3936966,1964918,1972048
16,Y.S.R. Kadapa,AP_Y.S.R. Kadapa,AP,2882469,1451777,1430692
18,Anjaw,AR_Anjaw,AR,21167,11507,9660
19,Changlang,AR_Changlang,AR,148226,76948,71278
20,East Kameng,AR_East Kameng,AR,78690,38775,39915
21,East Siang,AR_East Siang,AR,99214,50116,49098
22,Kurung Kumey,AR_Kurung Kumey,AR,92076,45318,46758
23,Lohit,AR_Lohit,AR,145726,76221,69505
24,Lower Dibang Valley,AR_Lower Dibang Valley,AR,54080,28053,26027
25,Lower Subansiri,AR_Lower Subansiri,AR,83030,41843,41187
26,Papum Pare,AR_Papum Pare,AR,176573,89182,87391
27,Tawang,AR_Tawang,AR,49977,29151,20826
28,Tirap,AR_Tirap,AR,111975,57604,54371
29,Upper Dibang Valley,AR_Upper Dibang Valley,AR,8004,4414,3590
30,Upper Siang,AR_Upper Siang,AR,35320,18699,16621
31,Upper Subansiri,AR_Upper Subansiri,AR,83448,41758,41690
32,West Kameng,AR_West Kameng,AR,83947,46155,37792
33,West Siang,AR_West Siang,AR,112274,58168,54106
34,Assam,Assam,AS,31205576,15939443,15266133
36,Araria,BR_Araria,BR,2811569,1463333,1348236
37,Arwal,BR_Arwal,BR,700843,363497,337346
38,Aurangabad,BR_Aurangabad,BR,2540073,1318684,1221389
39,Banka,BR_Banka,BR,2034763,1067140,967623
40,Begusarai,BR_Begusarai,BR,2970541,1567660,1402881
41,Bhagalpur,BR_Bhagalpur,BR,3037766,1615663,1422103
42,Bhojpur,BR_Bhojpur,BR,2728407,1430380,1298027
43,Buxar,BR_Buxar,BR,1706352,887977,818375
