districtid,cases
AP_Anantapur,156771
AP_Chittoor,234871
AP_East Godavari,282389
AP_Guntur,170493
AP_Krishna,111599
AP_Kurnool,123572
AP_Prakasam,131787
AP_S.P.S. Nellore,137357
AP_Srikakulam,121390
AP_Visakhapatnam,153698
AP_Vizianagaram,81776
AP_West Godavari,171987
AP_Y.S.R. Kadapa,111606
AR_Anjaw,995
AR_Changlang,3657
AR_East Kameng,1079
AR_East Siang,2963
AR_Kamle,478
AR_Kra Daadi,260
AR_Kurung Kumey,512
AR_Lepa Rada,792
AR_Lohit,2689
AR_Longding,731
AR_Lower Dibang Valley,2168
AR_Lower Siang,709
AR_Lower Subansiri,2647
AR_Namsai,1970
AR_Pakke Kessang,396
AR_Papum Pare,17303
AR_Shi Yomi,225
AR_Siang,393
AR_Tawang,2300
AR_Tirap,1008
AR_Upper Dibang Valley,297
AR_Upper Siang,896
AR_Upper Subansiri,1914
AR_West Kameng,3208
AR_West Siang,1769
Andaman and Nicobar Islands,7548
Assam,579488
BR_Araria,14963
BR_Arwal,7381
BR_Aurangabad,20010
BR_Banka,7379
BR_Begusarai,27184
BR_Bhagalpur,25827
BR_Bhojpur,10177
BR_Buxar,9249
BR_Darbhanga,10908
BR_East Champaran,19000
BR_Gaya,33943
BR_Gopalganj,16673
BR_Jamui,9415
BR_Jehanabad,10801
BR_Kaimur,4985
BR_Katihar,18129
BR_Khagaria,10059
BR_Kishanganj,10107
BR_Lakhisarai,7772
BR_Madhepura,12523
BR_Madhubani,18340
BR_Munger,15102
BR_Muzaffarpur,31382
BR_Nalanda,23424
BR_Nawada,10345
BR_Patna,146846
BR_Purnia,24415
BR_Rohtas,13962
BR_Saharsa,17593
BR_Samastipur,19988
BR_Saran,23267
BR_Sheikhpura,7690
BR_Sheohar,4397
BR_Sitamarhi,9179
BR_Siwan,15195
BR_Supaul,17205
BR_Vaishali,19809
BR_West Champaran,20886
CH_Chandigarh,62028
CT_Balod,27280
CT_Baloda Bazar,43010
CT_Balrampur,20281
CT_Bametara,19946
CT_Bastar,20953
CT_Bijapur,8269
CT_Bilaspur,65471
CT_Dakshin Bastar Dantewada,10755
CT_Dhamtari,27567
CT_Durg,96657
CT_Gariaband,19673
CT_Janjgir Champa,57463
CT_Jashpur,27004
CT_Kabeerdham,22771
CT_Kondagaon,13072
CT_Korba,54598
CT_Koriya,26927
CT_Mahasamund,31325
CT_Mungeli,23900
CT_Narayanpur,4008
CT_Raigarh,62487
CT_Raipur,160708
CT_Rajnandgaon,56014
CT_Sukma,7975
CT_Surajpur,29017
CT_Surguja,33781
CT_Uttar Bastar Kanker,23542
DN_Dadra and Nagar Haveli,5905
DN_Daman,3536
DN_Diu,1218
Delhi,1437038
GJ_Ahmedabad,238044
GJ_Amreli,10806
GJ_Anand,9624
GJ_Aravalli,5184
GJ_Banaskantha,13631
GJ_Bharuch,11429
GJ_Bhavnagar,21413
GJ_Botad,2218
GJ_Chhota Udaipur,3395
GJ_Dahod,9944
GJ_Dang,864
GJ_Devbhumi Dwarka,4173
GJ_Gandhinagar,20741
GJ_Gir Somnath,8557
GJ_Jamnagar,34951
GJ_Junagadh,20470
GJ_Kheda,10432
GJ_Kutch,12594
GJ_Mahisagar,8429
GJ_Mehsana,24414
GJ_Morbi,6506
GJ_Narmada,5952
GJ_Navsari,7156
GJ_Panchmahal,11770
GJ_Patan,11624
GJ_Porbandar,3477
GJ_Rajkot,57925
GJ_Sabarkantha,9314
GJ_Surat,143502
GJ_Surendranagar,8124
GJ_Tapi,4442
GJ_Vadodara,77924
GJ_Valsad,6244
Goa,172431
HP_Bilaspur,13165
HP_Chamba,12993
HP_Hamirpur,14883
HP_Kangra,46992
HP_Kinnaur,3348
HP_Kullu,9321
HP_Lahaul and Spiti,2829
HP_Mandi,28890
HP_Shimla,26157
HP_Sirmaur,15404
HP_Solan,22476
HP_Una,13503
HR_Ambala,30105
HR_Bhiwani,22395
HR_Charkhi Dadri,5069
HR_Faridabad,99808
HR_Fatehabad,17861
HR_Gurugram,180992
HR_Hisar,53979
HR_Jhajjar,18829
HR_Jind,21204
HR_Kaithal,11218
HR_Karnal,40000
HR_Kurukshetra,22116
HR_Mahendragarh,21687
HR_Nuh,5011
HR_Palwal,10984
HR_Panchkula,30658
HR_Panipat,31135
HR_Rewari,20304
HR_Rohtak,25879
HR_Sirsa,29257
HR_Sonipat,47126
HR_Yamunanagar,24571
JH_Bokaro,19415
JH_Chatra,6028
JH_Deoghar,10806
JH_Dhanbad,16519
JH_Dumka,4638
JH_East Singhbhum,51789
JH_Garhwa,6885
JH_Giridih,8960
JH_Godda,5836
JH_Gumla,9901
JH_Hazaribagh,19582
JH_Jamtara,5555
JH_Khunti,7787
JH_Koderma,12876
JH_Latehar,7865
JH_Lohardaga,6691
JH_Pakur,2550
JH_Palamu,12289
JH_Ramgarh,13901
JH_Ranchi,85490
JH_Sahibganj,4818
JH_Simdega,7192
JH_West Singhbhum,13004
JK_Anantnag,16374
JK_Bandipora,9552
JK_Baramulla,23756
JK_Budgam,23013
JK_Doda,7405
JK_Ganderbal,10015
JK_Jammu,52907
JK_Kathua,9274
JK_Kishtwar,4707
JK_Kulgam,11327
JK_Kupwara,14151
JK_Pulwama,15256
JK_Punch,6289
JK_Rajouri,11023
JK_Ramban,5996
JK_Reasi,6424
JK_Samba,7138
JK_Shopiyan,5592
JK_Srinagar,71794
JK_Udhampur,11365
KA_Bagalkote,35136
KA_Ballari,97511
KA_Belagavi,78762
KA_Bengaluru Rural,61271
KA_Bengaluru Urban,1232597
KA_Bidar,24284
KA_Chamarajanagara,32638
KA_Chikkaballapura,43797
KA_Chikkamagaluru,49244
KA_Chitradurga,36163
KA_Dakshina Kannada,105534
KA_Davanagere,50543
KA_Dharwad,60620
KA_Gadag,26011
KA_Hassan,108159
KA_Haveri,21886
KA_Kalaburagi,61697
KA_Kodagu,34217
KA_Kolar,45970
KA_Koppal,35122
KA_Mandya,72612
KA_Mysuru,174533
KA_Raichur,39905
KA_Ramanagara,24056
KA_Shivamogga,67597
KA_Tumakuru,118579
KA_Udupi,71645
KA_Uttara Kannada,54230
