districtid,wave1-weekid,wave2-weekid,wave1-monthid,wave2-monthid
AP_Anantapur,28,110,4,14
AP_Chittoor,37,111,5,14
AP_East Godavari,40,111,5,14
AP_Guntur,27,109,4,13
AP_Krishna,46,111,6,14
AP_Kurnool,30,107,4,13
AP_Prakasam,38,107,5,14
AP_S.P.S. Nellore,38,108,5,13
AP_Srikakulam,36,106,5,13
AP_Visakhapatnam,28,108,4,13
AP_Vizianagaram,38,107,5,13
AP_West Godavari,39,111,5,14
AP_Y.S.R. Kadapa,37,109,5,14
AR_Anjaw,46,115,6,14
AR_Changlang,47,113,6,14
AR_East Kameng,30,116,4,14
AR_East Siang,50,125,6,15
AR_Kamle,46,126,6,16
AR_Kra Daadi,45,117,6,14
AR_Kurung Kumey,44,122,6,15
AR_Lepa Rada,48,129,6,16
AR_Lohit,51,129,7,15
AR_Longding,43,126,6,15
AR_Lower Dibang Valley,49,105,7,13
AR_Lower Siang,45,133,6,16
AR_Lower Subansiri,40,133,6,16
AR_Namsai,29,113,4,14
AR_Pakke Kessang,42,123,6,15
AR_Papum Pare,43,129,6,16
AR_Shi Yomi,56,125,7,16
AR_Siang,36,128,7,16
AR_Tawang,37,113,5,14
AR_Tirap,47,130,6,16
AR_Upper Dibang Valley,47,114,6,14
AR_Upper Siang,51,112,7,14
AR_Upper Subansiri,33,123,6,15
AR_West Kameng,32,126,5,15
AR_West Siang,47,130,6,16
Andaman and Nicobar Islands,31,105,4,13
Assam,37,111,5,14
BR_Araria,31,108,5,13
BR_Arwal,32,107,4,13
BR_Aurangabad,32,104,5,13
BR_Banka,30,105,4,13
BR_Begusarai,31,105,4,13
BR_Bhagalpur,30,104,4,13
BR_Bhojpur,30,103,4,13
BR_Buxar,30,104,4,13
BR_Darbhanga,31,106,4,13
BR_East Champaran,31,108,4,13
BR_Gaya,31,105,4,13
BR_Gopalganj,30,106,5,13
BR_Jamui,27,107,4,13
BR_Jehanabad,31,104,4,13
BR_Kaimur,31,104,4,13
BR_Katihar,30,108,4,13
BR_Khagaria,28,106,4,13
BR_Kishanganj,31,110,5,13
BR_Lakhisarai,32,105,5,13
BR_Madhepura,31,106,5,13
