districtid,dose1,dose2
AP_Anantapur,1364777,597347
AP_Chittoor,1566298,640864
AP_East Godavari,1929037,552473
AP_Guntur,1758625,592441
AP_Krishna,1758018,557589
AP_Kurnool,1243589,492628
AP_Prakasam,1233625,515791
AP_S.P.S. Nellore,1159318,528689
AP_Srikakulam,1029348,336972
AP_Visakhapatnam,1875874,623159
AP_Vizianagaram,922573,220017
AP_West Godavari,1642895,431964
AP_Y.S.R. Kadapa,1043567,395280
AR_Anjaw,10933,2549
AR_Changlang,75594,16906
AR_East Kameng,20421,6183
AR_East Siang,51325,16080
AR_Kamle,6231,1537
AR_Kra Daadi,5849,1748
AR_Kurung Kumey,8602,2847
AR_Lepa Rada,13131,5068
AR_Lohit,28011,6710
AR_Longding,18260,3293
AR_Lower Dibang Valley,29726,8102
AR_Lower Siang,15696,4567
AR_Lower Subansiri,24836,8151
AR_Namsai,57851,12607
AR_Pakke Kessang,7732,2984
AR_Papum Pare,123283,38321
AR_Shi Yomi,6727,2298
AR_Siang,13883,4273
AR_Tawang,27847,9208
AR_Tirap,29037,5633
AR_Upper Dibang Valley,3953,1242
AR_Upper Siang,17505,6358
AR_Upper Subansiri,23099,7267
AR_West Kameng,50146,13892
AR_West Siang,32897,12346
Andaman and Nicobar Islands,232764,97287
Assam,11430053,2442900
BR_Araria,567123,104128
BR_Arwal,214042,28476
BR_Aurangabad,541455,71363
BR_Banka,487622,77742
BR_Begusarai,713926,112529
BR_Bhagalpur,894092,170988
BR_Bhojpur,596080,99551
BR_Buxar,412309,75792
BR_Darbhanga,977344,185613
BR_East Champaran,1182584,207814
BR_Gaya,956039,202428
BR_Gopalganj,535576,84542
BR_Jamui,385107,59695
BR_Jehanabad,282961,53212
BR_Kaimur,343454,45740
BR_Katihar,626223,90094
BR_Khagaria,366765,56776
BR_Kishanganj,336486,50572
BR_Lakhisarai,221035,33930
BR_Madhepura,413567,70339
BR_Madhubani,948586,186825
BR_Munger,382065,64451
BR_Muzaffarpur,1067700,194485
BR_Nalanda,769782,169833
BR_Nawada,487326,84583
BR_Patna,2510147,860093
BR_Purnia,829600,163272
BR_Rohtas,673227,110046
BR_Saharsa,425848,77479
BR_Samastipur,964145,176117
BR_Saran,1034080,212981
BR_Sheikhpura,166534,29858
BR_Sheohar,169238,38038
BR_Sitamarhi,722754,121429
BR_Siwan,908870,181051
BR_Supaul,457336,79031
BR_Vaishali,785921,137158
BR_West Champaran,811747,98510
CH_Chandigarh,733579,244351
CT_Balod,340478,104541
CT_Baloda Bazar,346168,84677
CT_Balrampur,194776,39958
CT_Bametara,178504,44883
CT_Bastar,269727,70885
