districtid,vaccineratio
OR_Khordha,0.23126355950117297
BR_Patna,0.9303614262811958
MH_Bhandara,1.1820386043319902
MH_Gondia,1.4090526062357047
MH_Washim,1.5209276905163605
MH_Sindhudurg,2.517105448402084
GJ_Chhota Udaipur,2.6521218770258814
TN_Chennai,2.69196151156961
OR_Ganjam,2.72546789389658
MH_Ratnagiri,2.750276780169038
MP_Jabalpur,2.784698475232305
MH_Parbhani,2.7992088174874232
PB_Amritsar,2.815346066825345
GJ_Amreli,2.8656764700445496
RJ_Jaipur,2.9492148579868824
GJ_Aravalli,2.955707508665665
MH_Buldhana,2.957189529374535
TN_Vellore,2.957675580502927
UP_Sonbhadra,3.048771773975513
UP_Amethi,3.0567410966647826
JH_Khunti,3.0695921803770174
HR_Palwal,3.091805209600494
UP_Fatehpur,3.101746732806071
JH_Hazaribagh,3.1356223990456953
PB_Barnala,3.139739181482724
Delhi,3.2224026619649226
GJ_Gir Somnath,3.3183171063915653
MH_Nanded,3.329382452906273
HR_Karnal,3.3449532255891468
MH_Amravati,3.361783245221635
GJ_Navsari,3.377819016605651
MH_Dhule,3.3982880759298975
CT_Raipur,3.4352665696748477
JH_Palamu,3.436266312193588
PB_Fatehgarh Sahib,3.517950895614577
MH_Hingoli,3.597186894379845
MH_Osmanabad,3.6867256470410883
GJ_Kheda,3.690036227479394
HR_Sonipat,3.8457659317979562
MP_Tikamgarh,3.885922997068881
MH_Ahmednagar,3.8881053664354237
RJ_Ajmer,3.9001252119701477
Telangana,3.936057331562208
JH_Lohardaga,3.9471772862330803
MH_Latur,3.959280159533522
MH_Gadchiroli,3.9623322007463933
AP_Guntur,3.96413481607923
UP_Kushinagar,4.029362285055096
JH_Ranchi,4.031315976298414
GJ_Devbhumi Dwarka,4.044815099511933
KA_Chamarajanagara,4.127007064868336
GJ_Porbandar,4.129506738728877
AP_Prakasam,4.20180897530053
AP_Krishna,4.223730099929525
MP_Sagar,4.3405172054570755
MH_Akola,4.3438794827832545
KA_Raichur,4.354632992966414
RJ_Tonk,4.378833967913269
MH_Jalna,4.408252080856124
UP_Maharajganj,4.440294122729708
JH_Dumka,4.442216179469749
GJ_Narmada,4.486244529832426
HR_Ambala,4.50670606403288
BR_East Champaran,4.535541816126091
RJ_Bikaner,4.561134664618535
HR_Charkhi Dadri,4.564305567253432
PB_Bathinda,4.572974144157158
CT_Rajnandgaon,4.573453138031693
KA_Bagalkote,4.581687482798841
RJ_Jodhpur,4.603072703792952
PB_Sri Muktsar Sahib,4.6184982834360815
MH_Yavatmal,4.6186130462317925
MP_Raisen,4.621869873262543
UP_Aligarh,4.623428348301445
JH_East Singhbhum,4.637817930094588
MP_Burhanpur,4.707953063885268
BR_Gaya,4.720655190463493
JH_Dhanbad,4.738934749685374
AP_West Godavari,4.740403260830477
AP_Visakhapatnam,4.740989864389824
AP_Chittoor,4.758259389877865
WB_Malda,4.7602809488204505
JH_Ramgarh,4.788946075957884
KA_Vijayapura,4.7957968363974715
GJ_Patan,4.7993671032268495
UP_Firozabad,4.818390825909205
BR_Purnia,4.9371830750095675
UP_Shamli,4.986706515986426
PB_Fazilka,4.988060790273556
UP_Sambhal,5.003018163116152
PB_Sangrur,5.007144099005832
HR_Rohtak,5.031402995104156
HR_Panipat,5.075654929033255
MP_Indore,5.078373334458833
KA_Hassan,5.0875379494981035
UP_Hathras,5.09123745819398
PB_S.A.S. Nagar,5.11510068836091
JH_Jamtara,5.1303587972711195
TN_Coimbatore,5.14044442446967
PB_Ludhiana,5.1578805165932025
WB_Uttar Dinajpur,5.186716097290555
KA_Bengaluru Urban,5.19876940398396
JH_Pakur,5.213211382113821
WB_Kolkata,5.239705435588339
UP_Ballia,5.273184309117701
KA_Koppal,5.280590908632869
UP_Lucknow,5.29014337318407
GJ_Valsad,5.312749503285954
GJ_Botad,5.317428436697696
AP_S.P.S. Nellore,5.3489359621474835
TN_Salem,5.351027827152311
WB_Murshidabad,5.3538362386213265
JH_Gumla,5.364810798683817
UP_Varanasi,5.421460671567837
UP_Bijnor,5.453311148931847
PB_Hoshiarpur,5.45911831577253
BR_Banka,5.462158178015976
AP_Kurnool,5.536678271091419
KA_Kodagu,5.5716606172418635
UP_Jhansi,5.582050413662974
TN_Erode,5.5953240917707445
HR_Panchkula,5.600487038269315
WB_Purulia,5.604623860596557
MH_Beed,5.608046621276315
WB_Bankura,5.610285505770736
RJ_Jhunjhunu,5.620643370296365
RJ_Hanumangarh,5.625967490884797
KA_Ballari,5.629600304047634
UP_Meerut,5.6597150771666005
UP_Azamgarh,5.691812668463612
JH_Deoghar,5.692587388274833
RJ_Sikar,5.7275400128372365
HR_Kaithal,5.760900254758466
MP_Gwalior,5.772956812035159
MH_Nandurbar,5.790746915849932
UP_Amroha,5.797503283212088
WB_Alipurduar,5.798743109674967
PB_Shahid Bhagat Singh Nagar,5.892406459042905
KA_Udupi,5.901616333117598
JH_Sahibganj,5.902631224462305
UP_Jaunpur,5.939516716882107
KA_Kolar,5.940822442763094
PB_Rupnagar,5.963294584488591
UP_Moradabad,5.9662174619935975
PY_Puducherry,5.984004640412012
AP_Anantapur,5.985673852288303
JH_Godda,6.009295898498838
BR_Saran,6.02730571583123
GJ_Panchmahal,6.031672271000685
TN_Krishnagiri,6.07361963190184
MP_Datia,6.090102116888295
WB_Darjeeling,6.091811671197339
UP_Ghazipur,6.108482623048107
TN_Karur,6.129212601514379
AP_East Godavari,6.146612302803641
HR_Gurugram,6.200960548401202
WB_Dakshin Dinajpur,6.202790651193585
HR_Bhiwani,6.2220096088985555
JH_Giridih,6.242822170206369
WB_Birbhum,6.2449449475879915
MP_Hoshangabad,6.247622145452914
