stateid,wave1-weekid,wave2-weekid,wave1-monthid,wave2-monthid
AN,31,105,4,13
AP,37,110,5,13
AR,44,129,6,14
AS,37,111,5,14
BR,31,106,4,13
CH,40,107,5,13
CT,41,104,6,13
DL,57,103,7,13
DN,31,103,4,13
GA,37,108,6,13
GJ,62,105,8,13
HP,63,108,8,13
HR,40,107,8,13
JH,37,104,5,13
JK,40,108,6,13
KA,47,107,6,13
KL,47,108,7,13
LA,47,102,7,13
LD,,111,,14
MH,39,103,5,13
ML,46,112,6,14
MN,50,130,7,16
MP,42,104,6,13
MZ,53,131,7,16
NL,28,110,7,14
OR,43,112,5,14
PB,41,108,5,13
PY,43,110,5,13
RJ,61,107,8,13
SK,43,113,6,14
TL,36,105,5,13
TN,26,112,5,14
TR,38,112,5,14
UP,39,104,5,13
UT,41,108,6,13
WB,52,109,7,13
