stateid,monthid,dose1,dose2
AN,1,3040,0
AN,2,8464,2768
AN,3,38205,3173
AN,4,50036,8867
AN,5,16942,564
AN,6,60381,54284
AN,7,55696,27631
AP,1,313606,6234
AP,2,545012,231137
AP,3,3124132,347854
AP,4,1502554,1511119
AP,5,4209540,539594
AP,6,4507670,1213042
AP,7,4325030,2636234
AR,1,13278,456
AR,2,33107,12113
AR,3,79197,21564
AR,4,93226,43945
AR,5,124440,1467
AR,6,269944,45372
AR,7,89383,75253
AS,1,122161,2016
AS,2,348789,81914
AS,3,805990,193006
AS,4,1301599,450517
AS,5,1358147,226842
AS,6,3105574,477937
AS,7,4387793,1010668
BR,1,452963,55
BR,2,624242,293375
BR,3,3531755,330833
BR,4,2429528,1058089
BR,5,3170701,247486
BR,6,6268222,902823
BR,7,8691285,2033903
CH,1,6712,117
CH,2,31697,5656
CH,3,70394,15804
CH,4,97769,50550
CH,5,129710,3766
CH,6,184220,50248
CH,7,213077,118210
CT,1,247096,905
CT,2,453252,190068
CT,3,3437458,255614
CT,4,840929,598673
CT,5,126839,112717
CT,6,2546694,717330
CT,7,1621262,880384
DL,1,178176,1967
DL,2,320119,118839
DL,3,1472979,284907
DL,4,1410375,603230
DL,5,1308922,455142
DL,6,2311893,687169
DL,7,1248538,1113747
DN,1,4068,71
DN,2,10325,3171
DN,3,53527,6759
DN,4,20697,14769
DN,5,157228,1645
DN,6,247439,37276
DN,7,105157,26730
GA,1,13280,309
GA,2,43269,11400
GA,3,111638,23973
GA,4,165547,56849
GA,5,226676,5992
GA,6,395037,91750
GA,7,158112,139636
GJ,1,761848,6
GJ,2,1219852,515402
GJ,3,6658270,728965
GJ,4,2558215,2594915
GJ,5,4798081,768634
GJ,6,6006129,1911420
GJ,7,8234620,3104341
HP,1,76758,449
HP,2,93689,62871
HP,3,872125,55257
HP,4,727606,305945
HP,5,411554,11840
HP,6,1313155,519336
HP,7,1458836,558373
HR,1,177711,590
HR,2,195047,102277
HR,3,2172518,158538
HR,4,1387946,641485
HR,5,1865922,175245
HR,6,2527274,785815
HR,7,2168583,1328216
JH,1,196885,2122
JH,2,256223,138839
JH,3,1754829,167202
JH,4,522010,327338
JH,5,1510083,154842
JH,6,2141547,554631
JH,7,2139962,724307
JK,1,118392,722
JK,2,244937,55829
JK,3,886587,156838
JK,4,1055681,320831
JK,5,842755,58047
JK,6,1267659,290297
JK,7,1136188,697589
KA,1,436580,15
KA,2,610804,326828
KA,3,4921503,288744
KA,4,2950215,1796202
KA,5,5331759,631166
KA,6,7314330,1910725
KA,7,5131322,2884112
KL,1,340633,45
KL,2,708878,280364
KL,3,3684528,277789
KL,4,1562541,1412145
KL,5,2863828,298611
KL,6,2633926,2150319
KL,7,5493813,2239430
LA,1,2831,71
LA,2,28476,2835
LA,3,35506,6505
LA,4,18883,28020
LA,5,69320,281
LA,6,29343,24324
LA,7,5185,11108
LD,1,1575,0
LD,2,1443,888
LD,3,9452,1917
LD,4,8970,3996
LD,5,19143,293
LD,6,8101,4790
LD,7,2994,5991
MH,1,654074,170
MH,2,1360075,412155
MH,3,8025758,673838
MH,4,5536098,3045171
MH,5,5455062,1104249
MH,6,8530912,3131039
MH,7,6826159,4447181
ML,1,12950,91
ML,2,44874,10887
ML,3,60354,32315
ML,4,205157,32809
ML,5,120524,855
ML,6,304422,32211
ML,7,222333,150419
MN,1,21307,169
MN,2,48543,9873
MN,3,26720,36457
MN,4,204036,23092
MN,5,171711,1975
MN,6,380325,22933
MN,7,321441,171851
MP,1,548876,3
MP,2,517337,334841
MP,3,5137736,352319
MP,4,1201931,948782
MP,5,5043461,357524
MP,6,8206833,1923273
MP,7,11011684,2180277
MZ,1,10373,75
MZ,2,35479,10107
MZ,3,49453,18401
MZ,4,143530,22521
MZ,5,66893,1444
MZ,6,295348,56611
MZ,7,59808,108738
NL,1,9175,123
NL,2,29948,9121
NL,3,61971,20841
NL,4,82856,22514
NL,5,115258,737
NL,6,231580,52298
NL,7,110869,63234
