stateid,vaccineratio
DL,3.2224026619649226
TL,3.936057331562208
JH,5.056299789498739
AP,5.12803671763365
TN,5.452405782369321
PB,5.734853243247831
HR,5.928502008256448
KA,6.519023501203644
MH,6.574639543144897
OR,6.601201155298961
WB,6.63833118508017
RJ,6.986480643590817
AS,7.006831531602256
PY,7.098159282349374
UP,7.451208635026701
CT,7.696962111401307
MP,7.7528509907810275
BR,7.838604466209679
GJ,8.362570958732626
KL,9.01839540529537
UT,12.720789994317546
JK,26.09481942326487
TR,48.110157238387856
GA,51.1288866418692
CH,210.8299761750054
HP,1897.5453744493393
NL,1947.866828087167
SK,2877.165938864629
AR,5035.307262569832
LA,5354.469387755102
ML,6289.3538461538465
LD,7728.111111111111
DN,14655.63829787234
MN,15002.697916666666
MZ,38178.82608695652
AN,330051.0
