State Code,State Name,Age Group,TOT_P,TOT_M,TOT_F
0.0,India,Total,1210854977.0,623270258.0,587584719.0
0.0,India,5-9,126928126.0,66300466.0,60627660.0
0.0,India,10-14,132709212.0,69418835.0,63290377.0
0.0,India,15-19,120526449.0,63982396.0,56544053.0
0.0,India,20-24,111424222.0,57584693.0,53839529.0
0.0,India,25-29,101413965.0,51344208.0,50069757.0
0.0,India,Age not stated,4489802.0,2372881.0,2116921.0
0.0,India,30-49,308492074.0,157263555.0,151228519.0
0.0,India,50-69,152333999.0,76945353.0,75388646.0
0.0,India,70+,39730350.0,19425797.0,20304553.0
1.0,JAMMU & KASHMIR,Total,12541302.0,6640662.0,5900640.0
1.0,JAMMU & KASHMIR,5-9,1411973.0,746818.0,665155.0
1.0,JAMMU & KASHMIR,10-14,1413853.0,744855.0,668998.0
1.0,JAMMU & KASHMIR,15-19,1237462.0,640362.0,597100.0
1.0,JAMMU & KASHMIR,20-24,1160913.0,603578.0,557335.0
1.0,JAMMU & KASHMIR,25-29,1086122.0,584559.0,501563.0
1.0,JAMMU & KASHMIR,Age not stated,15119.0,9747.0,5372.0
1.0,JAMMU & KASHMIR,30-49,3069723.0,1636310.0,1433413.0
1.0,JAMMU & KASHMIR,50-69,1335288.0,704522.0,630766.0
1.0,JAMMU & KASHMIR,70+,395965.0,206410.0,189555.0
2.0,HIMACHAL PRADESH,Total,6864602.0,3481873.0,3382729.0
2.0,HIMACHAL PRADESH,5-9,591177.0,311457.0,279720.0
2.0,HIMACHAL PRADESH,10-14,639224.0,338240.0,300984.0
2.0,HIMACHAL PRADESH,15-19,640461.0,336729.0,303732.0
2.0,HIMACHAL PRADESH,20-24,643866.0,323720.0,320146.0
2.0,HIMACHAL PRADESH,25-29,589160.0,290125.0,299035.0
2.0,HIMACHAL PRADESH,Age not stated,10163.0,5353.0,4810.0
2.0,HIMACHAL PRADESH,30-49,1905011.0,949394.0,955617.0
2.0,HIMACHAL PRADESH,50-69,987526.0,494820.0,492706.0
2.0,HIMACHAL PRADESH,70+,313030.0,147024.0,166006.0
3.0,PUNJAB,Total,27743338.0,14639465.0,13103873.0
3.0,PUNJAB,5-9,2368019.0,1301682.0,1066337.0
3.0,PUNJAB,10-14,2583402.0,1445530.0,1137872.0
3.0,PUNJAB,15-19,2817683.0,1570180.0,1247503.0
3.0,PUNJAB,20-24,2776636.0,1465531.0,1311105.0
3.0,PUNJAB,25-29,2463861.0,1270405.0,1193456.0
3.0,PUNJAB,Age not stated,41522.0,22272.0,19250.0
3.0,PUNJAB,30-49,7481850.0,3820738.0,3661112.0
3.0,PUNJAB,50-69,3927197.0,2004798.0,1922399.0
3.0,PUNJAB,70+,1149639.0,588373.0,561266.0
4.0,CHANDIGARH,Total,1055450.0,580663.0,474787.0
4.0,CHANDIGARH,5-9,91194.0,49255.0,41939.0
4.0,CHANDIGARH,10-14,93464.0,52140.0,41324.0
4.0,CHANDIGARH,15-19,104418.0,60521.0,43897.0
4.0,CHANDIGARH,20-24,121244.0,68467.0,52777.0
4.0,CHANDIGARH,25-29,110237.0,60694.0,49543.0
4.0,CHANDIGARH,Age not stated,346.0,201.0,145.0
4.0,CHANDIGARH,30-49,303748.0,165352.0,138396.0
4.0,CHANDIGARH,50-69,123507.0,67633.0,55874.0
4.0,CHANDIGARH,70+,25438.0,13053.0,12385.0
5.0,UTTARAKHAND,Total,10086292.0,5137773.0,4948519.0
5.0,UTTARAKHAND,5-9,1058801.0,560179.0,498622.0
5.0,UTTARAKHAND,10-14,1145343.0,603274.0,542069.0
5.0,UTTARAKHAND,15-19,1124110.0,588483.0,535627.0
5.0,UTTARAKHAND,20-24,970068.0,484614.0,485454.0
5.0,UTTARAKHAND,25-29,810184.0,397363.0,412821.0
5.0,UTTARAKHAND,Age not stated,16608.0,9312.0,7296.0
5.0,UTTARAKHAND,30-49,2419886.0,1209774.0,1210112.0
5.0,UTTARAKHAND,50-69,1263434.0,625521.0,637913.0
5.0,UTTARAKHAND,70+,352994.0,170265.0,182729.0
6.0,HARYANA,Total,25351462.0,13494734.0,11856728.0
6.0,HARYANA,5-9,2498757.0,1371825.0,1126932.0
6.0,HARYANA,10-14,2668678.0,1474136.0,1194542.0
6.0,HARYANA,15-19,2677390.0,1487548.0,1189842.0
6.0,HARYANA,20-24,2567486.0,1372799.0,1194687.0
6.0,HARYANA,25-29,2231959.0,1178340.0,1053619.0
6.0,HARYANA,Age not stated,31534.0,16888.0,14646.0
6.0,HARYANA,30-49,6403218.0,3335891.0,3067327.0
6.0,HARYANA,50-69,3064954.0,1554125.0,1510829.0
6.0,HARYANA,70+,844967.0,419393.0,425574.0
7.0,Delhi,Total,16787941.0,8987326.0,7800615.0
7.0,Delhi,5-9,1535972.0,829487.0,706485.0
7.0,Delhi,10-14,1648147.0,895446.0,752701.0
7.0,Delhi,15-19,1667375.0,925118.0,742257.0
7.0,Delhi,20-24,1764060.0,951411.0,812649.0
7.0,Delhi,25-29,1668326.0,878196.0,790130.0
7.0,Delhi,Age not stated,16702.0,9175.0,7527.0
7.0,Delhi,30-49,4762353.0,2541995.0,2220358.0
