State Code,State Name,Type,Age Group,Two Total,Two Male,Two Female,Three Total,Three Male,Three Female
0,INDIA,Total,Total,228979190,126159551,102819639,86009580,50536832,35472748
0,INDIA,Total,5-9,13805084,7188692,6616392,1844108,978151,865957
0,INDIA,Total,10-14,27234157,14302292,12931865,7254335,3831131,3423204
0,INDIA,Total,15-19,29797882,15958142,13839740,12626717,6792766,5833951
0,INDIA,Total,20-24,28510072,15319080,13190992,12834334,7067614,5766720
0,INDIA,Total,25-29,25066874,13550988,11515886,10857171,6144045,4713126
0,INDIA,Total,30-49,68976986,39041847,29935139,27466884,16824473,10642411
0,INDIA,Total,50-69,28813421,16920768,11892653,10916361,7385967,3530394
0,INDIA,Total,70+,6007808,3450976,2556832,1954539,1362695,591844
0,INDIA,Total,Age not stated,766906,426766,340140,255131,149990,105141
0,INDIA,Rural,Total,127257496,71216990,56040506,35383989,21771062,13612927
0,INDIA,Rural,5-9,8619753,4459004,4160749,672498,356376,316122
0,INDIA,Rural,10-14,17321726,9076421,8245305,3638873,1929573,1709300
0,INDIA,Rural,15-19,17987978,9726204,8261774,6559688,3616092,2943596
0,INDIA,Rural,20-24,15939543,8730193,7209350,5966021,3449951,2516070
0,INDIA,Rural,25-29,13483541,7492507,5991034,4569413,2768678,1800735
0,INDIA,Rural,30-49,35834430,20909339,14925091,10139312,6778161,3361151
0,INDIA,Rural,50-69,14608987,8782315,5826672,3215504,2413157,802347
0,INDIA,Rural,70+,3101453,1836276,1265177,534536,404113,130423
0,INDIA,Rural,Age not stated,360085,204731,155354,88144,54961,33183
0,INDIA,Urban,Total,101721694,54942561,46779133,50625591,28765770,21859821
0,INDIA,Urban,5-9,5185331,2729688,2455643,1171610,621775,549835
0,INDIA,Urban,10-14,9912431,5225871,4686560,3615462,1901558,1713904
0,INDIA,Urban,15-19,11809904,6231938,5577966,6067029,3176674,2890355
0,INDIA,Urban,20-24,12570529,6588887,5981642,6868313,3617663,3250650
0,INDIA,Urban,25-29,11583333,6058481,5524852,6287758,3375367,2912391
0,INDIA,Urban,30-49,33142556,18132508,15010048,17327572,10046312,7281260
0,INDIA,Urban,50-69,14204434,8138453,6065981,7700857,4972810,2728047
0,INDIA,Urban,70+,2906355,1614700,1291655,1420003,958582,461421
0,INDIA,Urban,Age not stated,406821,222035,184786,166987,95029,71958
1,JAMMU & KASHMIR,Total,Total,4086970,2376063,1710907,2096220,1258756,837464
1,JAMMU & KASHMIR,Total,5-9,362954,194915,168039,73589,39782,33807
1,JAMMU & KASHMIR,Total,10-14,682784,365740,317044,222586,121618,100968
1,JAMMU & KASHMIR,Total,15-19,562972,300967,262005,339152,187145,152007
1,JAMMU & KASHMIR,Total,20-24,463341,257763,205578,343400,191644,151756
1,JAMMU & KASHMIR,Total,25-29,427651,254652,172999,271949,157424,114525
1,JAMMU & KASHMIR,Total,30-49,1108333,691340,416993,607745,387660,220085
1,JAMMU & KASHMIR,Total,50-69,385115,250994,134121,202306,147122,55184
1,JAMMU & KASHMIR,Total,70+,90302,57457,32845,33910,25382,8528
1,JAMMU & KASHMIR,Total,Age not stated,3518,2235,1283,1583,979,604
1,JAMMU & KASHMIR,Rural,Total,2908514,1691659,1216855,1258724,778704,480020
1,JAMMU & KASHMIR,Rural,5-9,268364,144102,124262,52954,28627,24327
1,JAMMU & KASHMIR,Rural,10-14,522789,280119,242670,162463,89191,73272
1,JAMMU & KASHMIR,Rural,15-19,428611,229506,199105,230865,130000,100865
1,JAMMU & KASHMIR,Rural,20-24,338003,185910,152093,215100,124592,90508
1,JAMMU & KASHMIR,Rural,25-29,294029,171688,122341,156318,94469,61849
1,JAMMU & KASHMIR,Rural,30-49,742221,467155,275066,329557,224256,105301
1,JAMMU & KASHMIR,Rural,50-69,251916,171764,80152,94087,74449,19638
1,JAMMU & KASHMIR,Rural,70+,60175,39967,20208,16289,12406,3883
1,JAMMU & KASHMIR,Rural,Age not stated,2406,1448,958,1091,714,377
1,JAMMU & KASHMIR,Urban,Total,1178456,684404,494052,837496,480052,357444
1,JAMMU & KASHMIR,Urban,5-9,94590,50813,43777,20635,11155,9480
1,JAMMU & KASHMIR,Urban,10-14,159995,85621,74374,60123,32427,27696
1,JAMMU & KASHMIR,Urban,15-19,134361,71461,62900,108287,57145,51142
1,JAMMU & KASHMIR,Urban,20-24,125338,71853,53485,128300,67052,61248
1,JAMMU & KASHMIR,Urban,25-29,133622,82964,50658,115631,62955,52676
1,JAMMU & KASHMIR,Urban,30-49,366112,224185,141927,278188,163404,114784
1,JAMMU & KASHMIR,Urban,50-69,133199,79230,53969,108219,72673,35546
1,JAMMU & KASHMIR,Urban,70+,30127,17490,12637,17621,12976,4645
1,JAMMU & KASHMIR,Urban,Age not stated,1112,787,325,492,265,227
2,HIMACHAL PRADESH,Total,Total,895419,483488,411931,347286,200478,146808
2,HIMACHAL PRADESH,Total,5-9,59504,31514,27990,6545,3640,2905
