State Code,State Name,TOT_P,TOT_M,TOT_F
0,INDIA,1215574677,626065355,589509322
1,JAMMU & KASHMIR,12541302,6640662,5900640
2,HIMACHAL PRADESH,6864602,3481873,3382729
3,PUNJAB,27743338,14639465,13103873
4,CHANDIGARH,1055450,580663,474787
5,UTTARAKHAND,10086292,5137773,4948519
6,HARYANA,25351462,13494734,11856728
7,DELHI,33575882,17974652,15601230
8,RAJASTHAN,68548437,35550997,32997440
9,UTTAR PRADESH,196821531,102935702,93885829
10,BIHAR,104099452,54278157,49821295
11,SIKKIM,610577,323070,287507
12,ARUNACHAL PRADESH,1383727,713912,669815
13,NAGALAND,1978502,1024649,953853
14,MANIPUR,2855794,1438586,1417208
15,MIZORAM,1097206,555339,541867
16,TRIPURA,3673917,1874376,1799541
17,MEGHALAYA,2966889,1491832,1475057
18,ASSAM,31205576,15939443,15266133
19,WEST BENGAL,91276115,46809027,44467088
20,JHARKHAND,31923078,16385904,15537174
21,ODISHA,41974218,21212136,20762082
22,CHHATTISGARH,23263525,11674085,11589440
23,MADHYA PRADESH,72626809,37612306,35014503
24,GUJARAT,60439692,31491260,28948432
25,DAMAN & DIU,243247,150301,92946
26,DADRA & NAGAR HAVELI,343709,193760,149949
27,MAHARASHTRA,108578924,56292926,52285998
28,ANDHRA PRADESH,84580777,42442146,42138631
29,KARNATAKA,58917966,29855635,29062331
30,GOA,1458545,739140,719405
31,LAKSHADWEEP,64473,33123,31350
32,KERALA,33406061,16027412,17378649
33,TAMIL NADU,72147030,36137975,36009055
34,PUDUCHERRY,1489991,729463,760528
35,ANDAMAN & NICOBAR ISLANDS,380581,202871,177710
