State Code,State Name,TRU,TOT_P,TOT_M,TOT_F
0,INDIA,Total,1210854977,623270258,587584719
0,INDIA,Rural,833748852,427781058,405967794
0,INDIA,Urban,377106125,195489200,181616925
1,State - JAMMU & KASHMIR,Total,12541302,6640662,5900640
1,State - JAMMU & KASHMIR,Rural,9108060,4774477,4333583
1,State - JAMMU & KASHMIR,Urban,3433242,1866185,1567057
2,State - HIMACHAL PRADESH,Total,6864602,3481873,3382729
2,State - HIMACHAL PRADESH,Rural,6176050,3110345,3065705
2,State - HIMACHAL PRADESH,Urban,688552,371528,317024
3,State - PUNJAB,Total,27743338,14639465,13103873
3,State - PUNJAB,Rural,17344192,9093476,8250716
3,State - PUNJAB,Urban,10399146,5545989,4853157
4,State - CHANDIGARH,Total,1055450,580663,474787
4,State - CHANDIGARH,Rural,28991,17150,11841
4,State - CHANDIGARH,Urban,1026459,563513,462946
5,State - UTTARAKHAND,Total,10086292,5137773,4948519
5,State - UTTARAKHAND,Rural,7036954,3519042,3517912
5,State - UTTARAKHAND,Urban,3049338,1618731,1430607
6,State - HARYANA,Total,25351462,13494734,11856728
6,State - HARYANA,Rural,16509359,8774006,7735353
6,State - HARYANA,Urban,8842103,4720728,4121375
7,State - NCT OF DELHI,Total,16787941,8987326,7800615
7,State - NCT OF DELHI,Rural,419042,226321,192721
7,State - NCT OF DELHI,Urban,16368899,8761005,7607894
8,State - RAJASTHAN,Total,68548437,35550997,32997440
8,State - RAJASTHAN,Rural,51500352,26641747,24858605
8,State - RAJASTHAN,Urban,17048085,8909250,8138835
9,State - UTTAR PRADESH,Total,199812341,104480510,95331831
9,State - UTTAR PRADESH,Rural,155317278,80992995,74324283
9,State - UTTAR PRADESH,Urban,44495063,23487515,21007548
10,State - BIHAR,Total,104099452,54278157,49821295
10,State - BIHAR,Rural,92341436,48073850,44267586
10,State - BIHAR,Urban,11758016,6204307,5553709
11,State - SIKKIM,Total,610577,323070,287507
11,State - SIKKIM,Rural,456999,242797,214202
11,State - SIKKIM,Urban,153578,80273,73305
12,State - ARUNACHAL PRADESH,Total,1383727,713912,669815
12,State - ARUNACHAL PRADESH,Rural,1066358,546011,520347
12,State - ARUNACHAL PRADESH,Urban,317369,167901,149468
13,State - NAGALAND,Total,1978502,1024649,953853
13,State - NAGALAND,Rural,1407536,725472,682064
13,State - NAGALAND,Urban,570966,299177,271789
14,State - MANIPUR,Total,2855794,1438586,1417208
14,State - MANIPUR,Rural,2021640,1026884,994756
14,State - MANIPUR,Urban,834154,411702,422452
15,State - MIZORAM,Total,1097206,555339,541867
15,State - MIZORAM,Rural,525435,269135,256300
15,State - MIZORAM,Urban,571771,286204,285567
16,State - TRIPURA,Total,3673917,1874376,1799541
16,State - TRIPURA,Rural,2712464,1387173,1325291
