State Code,State Name,Age Group,TOT_P,TOT_M,TOT_F
00,India,All ages,1210854977,623270258,587584719
00,India,0-4,112806778,58632074,54174704
00,India,5-9,126928126,66300466,60627660
00,India,10-14,132709212,69418835,63290377
00,India,15-19,120526449,63982396,56544053
00,India,20-24,111424222,57584693,53839529
00,India,25-29,101413965,51344208,50069757
00,India,30-34,88594951,44660674,43934277
00,India,35-39,85140684,42919381,42221303
00,India,40-44,72438112,37545386,34892726
00,India,45-49,62318327,32138114,30180213
00,India,50-54,49069254,25843266,23225988
00,India,55-59,39146055,19456012,19690043
00,India,60-64,37663707,18701749,18961958
00,India,65-69,26454983,12944326,13510657
00,India,70-74,19208842,9651499,9557343
00,India,75-79,9232503,4490603,4741900
00,India,80+,11289005,5283695,6005310
00,India,Age not stated,4489802,2372881,2116921
01,JAMMU & KASHMIR (01),All ages,12541302,6640662,5900640
01,JAMMU & KASHMIR (01),0-4,1414884,763501,651383
01,JAMMU & KASHMIR (01),5-9,1411973,746818,665155
01,JAMMU & KASHMIR (01),10-14,1413853,744855,668998
01,JAMMU & KASHMIR (01),15-19,1237462,640362,597100
01,JAMMU & KASHMIR (01),20-24,1160913,603578,557335
01,JAMMU & KASHMIR (01),25-29,1086122,584559,501563
01,JAMMU & KASHMIR (01),30-34,926903,495746,431157
01,JAMMU & KASHMIR (01),35-39,837945,441265,396680
01,JAMMU & KASHMIR (01),40-44,714085,387739,326346
01,JAMMU & KASHMIR (01),45-49,590790,311560,279230
01,JAMMU & KASHMIR (01),50-54,468566,255599,212967
01,JAMMU & KASHMIR (01),55-59,340031,172753,167278
01,JAMMU & KASHMIR (01),60-64,322726,173427,149299
01,JAMMU & KASHMIR (01),65-69,203965,102743,101222
01,JAMMU & KASHMIR (01),70-74,184019,97472,86547
01,JAMMU & KASHMIR (01),75-79,85076,43094,41982
01,JAMMU & KASHMIR (01),80+,126870,65844,61026
01,JAMMU & KASHMIR (01),Age not stated,15119,9747,5372
02,HIMACHAL PRADESH (02),All ages,6864602,3481873,3382729
02,HIMACHAL PRADESH (02),0-4,544984,285011,259973
02,HIMACHAL PRADESH (02),5-9,591177,311457,279720
02,HIMACHAL PRADESH (02),10-14,639224,338240,300984
02,HIMACHAL PRADESH (02),15-19,640461,336729,303732
02,HIMACHAL PRADESH (02),20-24,643866,323720,320146
02,HIMACHAL PRADESH (02),25-29,589160,290125,299035
02,HIMACHAL PRADESH (02),30-34,546357,271253,275104
02,HIMACHAL PRADESH (02),35-39,517966,258230,259736
02,HIMACHAL PRADESH (02),40-44,445560,222269,223291
02,HIMACHAL PRADESH (02),45-49,395128,197642,197486
02,HIMACHAL PRADESH (02),50-54,330687,165724,164963
02,HIMACHAL PRADESH (02),55-59,266860,135245,131615
02,HIMACHAL PRADESH (02),60-64,231372,115464,115908
02,HIMACHAL PRADESH (02),65-69,158607,78387,80220
02,HIMACHAL PRADESH (02),70-74,130587,62119,68468
02,HIMACHAL PRADESH (02),75-79,75706,36440,39266
02,HIMACHAL PRADESH (02),80+,106737,48465,58272
02,HIMACHAL PRADESH (02),Age not stated,10163,5353,4810
03,PUNJAB (03),All ages,27743338,14639465,13103873
03,PUNJAB (03),0-4,2133529,1149956,983573
03,PUNJAB (03),5-9,2368019,1301682,1066337
03,PUNJAB (03),10-14,2583402,1445530,1137872
03,PUNJAB (03),15-19,2817683,1570180,1247503
03,PUNJAB (03),20-24,2776636,1465531,1311105
03,PUNJAB (03),25-29,2463861,1270405,1193456
03,PUNJAB (03),30-34,2116539,1082533,1034006
03,PUNJAB (03),35-39,1989071,1010862,978209
03,PUNJAB (03),40-44,1788469,909208,879261
03,PUNJAB (03),45-49,1587771,818135,769636
03,PUNJAB (03),50-54,1254464,663664,590800
03,PUNJAB (03),55-59,956555,485845,470710
03,PUNJAB (03),60-64,996590,482483,514107
03,PUNJAB (03),65-69,719588,372806,346782
03,PUNJAB (03),70-74,513472,272120,241352
03,PUNJAB (03),75-79,256666,130203,126463
03,PUNJAB (03),80+,379501,186050,193451
03,PUNJAB (03),Age not stated,41522,22272,19250
04,CHANDIGARH (04),All ages,1055450,580663,474787
04,CHANDIGARH (04),0-4,81854,43347,38507
04,CHANDIGARH (04),5-9,91194,49255,41939
04,CHANDIGARH (04),10-14,93464,52140,41324
04,CHANDIGARH (04),15-19,104418,60521,43897
04,CHANDIGARH (04),20-24,121244,68467,52777
04,CHANDIGARH (04),25-29,110237,60694,49543
04,CHANDIGARH (04),30-34,90803,49625,41178
04,CHANDIGARH (04),35-39,83672,45566,38106
04,CHANDIGARH (04),40-44,68921,37268,31653
04,CHANDIGARH (04),45-49,60352,32893,27459
04,CHANDIGARH (04),50-54,46942,26108,20834
04,CHANDIGARH (04),55-59,34925,19745,15180
04,CHANDIGARH (04),60-64,25801,13530,12271
04,CHANDIGARH (04),65-69,15839,8250,7589
04,CHANDIGARH (04),70-74,11385,5998,5387
04,CHANDIGARH (04),75-79,6422,3255,3167
04,CHANDIGARH (04),80+,7631,3800,3831
04,CHANDIGARH (04),Age not stated,346,201,145
05,UTTARAKHAND (05),All ages,10086292,5137773,4948519
05,UTTARAKHAND (05),0-4,924864,488988,435876
05,UTTARAKHAND (05),5-9,1058801,560179,498622
05,UTTARAKHAND (05),10-14,1145343,603274,542069
05,UTTARAKHAND (05),15-19,1124110,588483,535627
05,UTTARAKHAND (05),20-24,970068,484614,485454
05,UTTARAKHAND (05),25-29,810184,397363,412821
05,UTTARAKHAND (05),30-34,698300,345427,352873
05,UTTARAKHAND (05),35-39,665500,330834,334666
05,UTTARAKHAND (05),40-44,566709,285531,281178
05,UTTARAKHAND (05),45-49,489377,247982,241395
05,UTTARAKHAND (05),50-54,397158,202024,195134
05,UTTARAKHAND (05),55-59,318461,151865,166596
05,UTTARAKHAND (05),60-64,329056,163220,165836
